,Player,Market_value(m),Position,Age,Nationality,Club,League
75,Lovro Majer ,13.0, Attacking Midfield,23,Croatia,Stade Rennais FC,FRA
76,Idrissa Gueye ,13.0, Defensive Midfield,32,Senegal,Paris Saint-Germain,FRA
77,Andy Delort ,13.0, Centre-Forward,30,Algeria,OGC Nice,FRA
78,Rafinha ,12.0, Attacking Midfield,28,Brazil,Paris Saint-Germain,FRA
79,Randal Kolo Muani ,12.0, Centre-Forward,23,France,FC Nantes,FRA
80,Angelo Fulgini ,12.0, Central Midfield,25,France,SCO Angers,FRA
81,Ander Herrera ,12.0, Central Midfield,32,Spain,Paris Saint-Germain,FRA
82,Mohamed-Ali Cho ,12.0, Centre-Forward,17,France,SCO Angers,FRA
83,Téji Savanier ,12.0, Central Midfield,29,France,Montpellier HSC,FRA
84,Anthony Lopes ,12.0, Goalkeeper,31,Portugal,Olympique Lyon,FRA
85,Walter Benítez ,12.0, Goalkeeper,28,Argentina,OGC Nice,FRA
86,Arnaud Kalimuendo ,12.0, Centre-Forward,19,France,RC Lens,FRA
87,Habib Diallo ,12.0, Centre-Forward,26,Senegal,RC Strasbourg Alsace,FRA
88,Thiago Mendes ,12.0, Defensive Midfield,29,Brazil,Olympique Lyon,FRA
89,Juan Bernat ,12.0, Left-Back,28,Spain,Paris Saint-Germain,FRA
90,Adrien Truffert ,11.0, Left-Back,20,France,Stade Rennais FC,FRA
91,Etienne Green ,10.0, Goalkeeper,21,England,AS Saint-Étienne,FRA
92,Mario Lemina ,10.0, Defensive Midfield,28,Gabon,OGC Nice,FRA
93,Leonardo Balerdi ,10.0, Centre-Back,22,Argentina,Olympique Marseille,FRA
94,Pau López ,10.0, Goalkeeper,27,Spain,Olympique Marseille,FRA
95,Khéphren Thuram ,10.0, Defensive Midfield,20,France,OGC Nice,FRA
96,Alexis Claude-Maurice ,10.0, Attacking Midfield,23,France,OGC Nice,FRA
97,Jonathan Clauss ,10.0, Right Midfield,29,France,RC Lens,FRA
98,Reinildo Mandava ,10.0, Left-Back,27,Mozambique,LOSC Lille,FRA
99,Mohamed Bayo ,10.0, Centre-Forward,23,Guinea,Clermont Foot 63,FRA
