,Player,Market_value(m),Position,Age,Nationality,Club,League
76,Joakim Maehle ,19.0, Right-Back,24,Denmark,Atalanta BC,ITA
77,Luiz Felipe ,18.0, Centre-Back,24,Brazil,SS Lazio,ITA
78,Lucas Torreira ,18.0, Defensive Midfield,25,Uruguay,ACF Fiorentina,ITA
79,João Pedro ,18.0, Second Striker,29,Brazil,Cagliari Calcio,ITA
80,Manuel Lazzari ,18.0, Right Midfield,28,Italy,SS Lazio,ITA
81,Alex Meret ,18.0, Goalkeeper,24,Italy,SSC Napoli,ITA
82,Alexis Saelemaekers ,18.0, Right Winger,22,Belgium,AC Milan,ITA
83,Alessio Cragno ,17.0, Goalkeeper,27,Italy,Cagliari Calcio,ITA
84,Eljif Elmas ,17.0, Central Midfield,22,North Macedonia,SSC Napoli,ITA
85,Teun Koopmeiners ,16.5, Defensive Midfield,23,Netherlands,Atalanta BC,ITA
86,Diego Demme ,16.0, Defensive Midfield,30,Germany,SSC Napoli,ITA
87,Juan Cuadrado ,16.0, Right-Back,33,Colombia,Juventus FC,ITA
88,Amir Rrahmani ,16.0, Centre-Back,27,Kosovo,SSC Napoli,ITA
89,Denzel Dumfries ,16.0, Right-Back,25,Netherlands,Inter Milan,ITA
90,Dennis Praet ,16.0, Central Midfield,27,Belgium,Torino FC,ITA
91,Hans Hateboer ,16.0, Right-Back,27,Netherlands,Atalanta BC,ITA
92,Rick Karsdorp ,15.0, Right-Back,26,Netherlands,AS Roma,ITA
93,Mattia Zaccagni ,15.0, Attacking Midfield,26,Italy,SS Lazio,ITA
94,Ethan Ampadu ,15.0, Centre-Back,21,Wales,Venezia FC,ITA
95,Rafael Tolói ,15.0, Centre-Back,31,Italy,Atalanta BC,ITA
96,Matheus Henrique ,15.0, Central Midfield,24,Brazil,US Sassuolo,ITA
97,Andrea Petagna ,15.0, Centre-Forward,26,Italy,SSC Napoli,ITA
98,Razvan Marin ,15.0, Central Midfield,25,Romania,Cagliari Calcio,ITA
99,Roberto Gagliardini ,15.0, Central Midfield,27,Italy,Inter Milan,ITA
