Player,Market_value(m),Position,Age,Nationality,Club
Youssoufa Moukoko ,15.0, Centre-Forward,17,Germany,Borussia Dortmund
Exequiel Palacios ,15.0, Central Midfield,23,Argentina,Bayer 04 Leverkusen
Taiwo Awoniyi ,15.0, Centre-Forward,24,Nigeria,1.FC Union Berlin
Kouadio Koné ,15.0, Central Midfield,20,France,Borussia Mönchengladbach
Kerem Demirbay ,15.0, Central Midfield,28,Germany,Bayer 04 Leverkusen
Alassane Plea ,15.0, Centre-Forward,28,France,Borussia Mönchengladbach
Koen Casteels ,14.0, Goalkeeper,29,Belgium,VfL Wolfsburg
Dan-Axel Zagadou ,14.0, Centre-Back,22,France,Borussia Dortmund
Manuel Neuer ,14.0, Goalkeeper,35,Germany,Bayern Munich
Diadié Samassékou ,14.0, Defensive Midfield,26,Mali,TSG 1899 Hoffenheim
Willi Orbán ,14.0, Centre-Back,29,Hungary,RB Leipzig
Dodi Lukébakio ,13.0, Right Winger,24,Belgium,VfL Wolfsburg
Marco Reus ,13.0, Attacking Midfield,32,Germany,Borussia Dortmund
Ellyes Skhiri ,13.0, Defensive Midfield,26,Tunisia,1. FC Köln
Martin Hinteregger ,13.0, Centre-Back,29,Austria,Eintracht Frankfurt
Sebastiaan Bornauw ,13.0, Centre-Back,22,Belgium,VfL Wolfsburg
Piero Hincapié ,13.0, Centre-Back,20,Ecuador,Bayer 04 Leverkusen
Amine Adli ,12.0, Right Winger,21,France,Bayer 04 Leverkusen
